"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"MOSPD3",-0.423962609048992,0.00148097718579686,0.00500920698579908,0.111714965854384,0.153293705381951,0.97521194568335,FALSE
"GFRA3",0.683430759918779,0.0178311296586488,0.0374309833136918,0.0235972788467374,0.0109204463003871,0.975097660471703,TRUE
"COG8",-0.397192848362663,0.000920913394288009,0.00350794385712574,0.122881521619977,0.164997382961179,0.975087536848107,FALSE
"USP7",-0.327641511454802,0.000179363785289462,0.00105878435469078,0.356091544949978,0.449430286752344,0.974796562572599,FALSE
"FAM171A1",-0.528358031090391,0.00556045993213741,0.0143003478193615,0.159382818803822,0.234298596393213,0.974637438100829,TRUE
"LINC01116",0.511808280690697,0.00466368635385278,0.0124685002561062,0.0165203369272456,0.00859984789757963,0.974578050924057,TRUE
"SPIN4",-0.545878096689011,0.00655719264528017,0.0163989338428669,0.04479714477357,0.0699988255206241,0.974493054962775,TRUE
"C19orf18",-0.503506966462538,0.00432018404033112,0.0116421392073871,0.0261653779891659,0.0412700461656723,0.973765964189445,TRUE
"DTD1",-0.53611766779721,0.00604032950799593,0.0152752191312854,0.0893404466027193,0.134050114335321,0.97359641345288,TRUE
"EDRF1",-0.474121246720919,0.00305662922817479,0.00885434958794354,0.107546837318898,0.153281005243718,0.973296641397684,FALSE
"ZCCHC17",-0.381933282863498,0.000686822188203561,0.0028304097410521,0.129077009916798,0.171229427903503,0.973223558177452,FALSE
"MECR",-0.376777993840064,0.000621997586746996,0.00261881895859328,0.089575465875047,0.119292646406203,0.972801038954334,FALSE
"TBP",-0.406629172238259,0.00111594723517701,0.0040551435143015,0.0724617266441046,0.0993100271303013,0.972654447183021,FALSE
"AP001816.1",-0.681590650703477,0.0179386128703247,0.0374309833136918,0.251611428589013,0.409600447799308,0.972472250121331,TRUE
"CACFD1",-0.401154207050707,0.00101409868521604,0.00377373216529438,0.170377367522187,0.228199855467378,0.972088478490449,FALSE
"SLC35E2B",-0.544345890477505,0.00655719264528017,0.0163989338428669,0.126821993289167,0.189535582966111,0.971757784357599,TRUE
"SMIM30",-0.422374423529382,0.00148097718579686,0.00500920698579908,0.142313054493838,0.194119501232215,0.971558752081775,FALSE
